,asin,reviewerName,reviewText,overall,summary,post_neg,original_title,overview
96,B000GK6NFK,Laina,Package arrived on time and in perfect condition. DVD's played perfectly and I would definitely buy from this seller again.,5,Laina's Review for SON S1,1,Inception,"Cobb a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"" the implantation of another person's idea into a target's subconscious."
97,B000GK6NFK,laynea,This show is a little corny at first but gets better and better as it goes on. It really just sucks you in.,5,Intriguing,1,Godzilla,From the mind behind Evangelion comes a hit larger than life.  When a massive gilled monster emerges from the deep and tears through the city the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.
98,B000GK6NFK,L. Kaufman,Season 1 is about moving to a new place and lots of self discovery. Great show I highly recommend it. Very realistic unlike The L world which is mostly fantasy.,5,Loved season 1. Discovery is a wonderful thing!,1,The Hobbit: An Unexpected Journey,Bilbo Baggins a hobbit enjoying his quiet life is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug the dragon.
99,B000GK6NFK,"Louise ""Lulu Tripp""",Why on earth did Season Two come out/arrive before Season One? It seriously makes no sense whatsoever. I have Season Two but I want to watch them (again) in order darnit.Heh anyway. I love this show...,4,Can somebody please tell me...,1,The Fast and the Furious,Domenic Toretto is a Los Angeles street racer suspected of masterminding a series of big-rig hijackings. When undercover cop Brian O'Conner infiltrates Toretto's iconoclastic crew he falls for Toretto's sister and must choose a side: the gang or the LAPD.
100,B000GK6NFK,Maria,I just started watching this show recently and i was instantly hooked. If i was rating the show itself i would have given 5 stars. however the dvd set available here is satisfactory. it is made to order and when i received mine in the mail they were all scratched up. It skips in a spot which is irritating. overall i would still buy this because i would rather deal with a few imperfections than not own the show at all.,4,Love This Show!,1,The Curious Case of Benjamin Button,Tells the story of Benjamin Button a man who starts aging backwards with bizarre consequences.
101,B000GK6NFK,"Melissa S. Austin ""Melissa Austin &#34;girl l...",This show was amazing as it tells the story of the Carlins. Paula the mom Arthur the dad Glenn the oldest brother Clay the adopted black brother and Spencer whom the show focuses most of it's attention on. I wish this had come out years earlier when I was questioning my own sexuality. It deals with the relationship of Spencer Carlin and Ashley Davies. Paula has a hard time accepting Ashley for being a lesbian and Spencer's best friend. The Carlins are a catholic family who moves from Ohio to Los Angeles CA. Although it's a teen show that shows sexuality differences there are other characters as well as their relationships. A definite recommend.,5,Great for the questioning of sexuality.,1,X-Men: First Class,Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto they were two young men discovering their powers for the first time. Before they were arch-enemies they were closest of friends working together with other mutants (some familiar some new) to stop the greatest threat the world has ever known.
102,B000GK6NFK,mini10z,It has such a great story and characters i think it is a must see if your in to romantic love storys after i saw an episode i couldnt stop watching them,5,Best Teen Show Ive Seen,1,The Hunger Games: Mockingjay - Part 2,With the nation of Panem in a full scale war Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale Finnick and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps enemies and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.
103,B000GK6NFK,"Nancy L. Manning ""nmanning""",I love Splashley! I watched all these before and loved the series. I love having these in my collection. Good service also!!!,5,Love it,1,The Sorcerer's Apprentice,Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis Maxim Horvath. Balthazar can't do it alone so he recruits Dave Stutler a seemingly average guy who demonstrates hidden potential as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic and together these unlikely partners work to stop the forces of darkness.
104,B000GK6NFK,N. Nerode,"CONSUMER WARNING.The series is great.  The DVD picture quality is also quite good and it is nice not to have network adverts crawling across the screen.However I cannot give a good rating to a DVD set which hacks up the original show.  If you're really a fan you will consider this to be a low-quality defective release and you may consider it inferior to off-air copies.The theme music has been completely replaced with a different song.  This should have been noted on the description; yet another case of false advertising in DVDs.  The original song is of course much more appropriate and better.There may be other unidentified cuts and alterations as the series used a lot of rather expensive music.The versions on Amazon Unbox and iTunes have the same cuts.The DVDs have several mastering errors; the ""choose episode"" option simply doesn't work.",2,"Great series, offensive DVD release",0,Poseidon,A packed cruise ship traveling the Atlantic is hit and overturned by a massive wave compelling the passengers to begin a dramatic fight for their lives.
105,B000GK6NFK,Paige5225,It took me forever to be able to find this television serious and I couldn't be happier.  This is one of the best drama series to ever be played on the N.  I was really excited to receive this season I would recommend this to anyone !,5,Yay,1,Alice Through the Looking Glass,"In the sequel to Tim Burton's ""Alice in Wonderland"" Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter."
106,B000GK6NFK,Paiggeerr,I was very excited to find this season since I had been thinking about the show for months. Once I found it I got to re-watch the episodes and it made me remember high school. Loved this show. Still do!,5,Very Good,1,Shrek the Third,The King of Far Far Away has died and Shrek and Fiona are to become King &amp; Queen. However Shrek wants to return to his cozy swamp and live in peace and quiet so when he finds out there is another heir to the throne they set off to bring him back to rule the kingdom.
107,B000GK6NFK,paul,it was a very open at the begining about young people coming to terms with there sexualitybut starts to get a bit melodramatic as it goes on.,5,it was a good soapy,1,Warcraft,The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds one army faces destruction and the other faces extinction. From opposing sides two heroes are set on a collision course that will decide the fate of their family their people and their home.
108,B000GK6NFK,rachel dwyer,South of Nowhere: Season One. i love south of nowhere it's my faviter. i love love it. so dis my friends,5,south of nowhere,1,Terminator Genisys,The year is 2029. John Connor leader of the resistance continues the war against the machines. At the Los Angeles offensive John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future and will ultimately change warfare forever.
109,B000GK6NFK,rebecca,the best series ever wish it never ended. but at least i can have a copy in my library of movies,5,great,1,The Chronicles of Narnia: The Voyage of the Dawn Treader,This time around Edmund and Lucy Pevensie along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.
110,B000GK6NFK,renee,This series was recommened to me and I found it to be the biggest waste of time and moneyI thought that maybe if I persisted with it it would get better man was I wrong.,1,south of nowhere,0,Pearl Harbor,The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7 1941.
111,B000GK6NFK,Roger Ulland,this is south of nowhere; dramatic funny whell acted and realiatic. Now not only do we see the world from a gay person`s eyes but we see the world from all human angles. I must edmit I was sceptical about this show. I was plessently suprised. So look if you`re into drama and you are a grown person you will truly enjoy this season. Have fun.,5,A superb angle,1,Transformers,Young teenager Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.
112,B000GK6NFK,Samantha,Though pricing for a very simple dvd copy of the series it's definite;y worth it to have the show and avoid all of the ridiculous &#34;the N&#34; adds constantly sliding across the bottom of the screen. There are a few song differences but nothing I would say changes the show. Quality is as good as it gets considering the show its self was a little bit low quality in the beginning anyways. The dvds are working great and I would highly suggest them!,5,"if you love SoN, get this!",1,Alexander,Alexander the King of Macedonia leads his legions against the giant Persian Empire. After defeating the Persians he leads his army across the then known world venturing farther than any westerner had ever gone all the way to India.
113,B000GK6NFK,"Sara E. Simmons ""Takira may""",I love love love this show/movie its great it shows drama and love relationships and break ups. Its about realizing who you are for the frist time in a new town.If you liked season one you will totally love seasons 2 and 3.,5,Great!!!!!,1,Harry Potter and the Order of the Phoenix,Returning for his fifth year of study at Hogwarts Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice Harry takes matters into his own hands training a small group of students – dubbed 'Dumbledore's Army' – to defend themselves against the dark arts.
114,B000GK6NFK,"Seaneen Duggan ""Rassick""",a lovely show and much neededparticularly now in America.A genuinely nice product will scriptd and beautifully suggestive so keeps both the younger and slightly older viewer happy.,5,great light gay drama,1,Harry Potter and the Goblet of Fire,Harry starts his fourth year at Hogwarts competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure – but Voldemort lurks awaiting his chance to destroy Harry and all that he stands for.
115,B000GK6NFK,shane mcbain,went down south very very quick boring to watch only wasted about 1 hour  ( 2 episodes )  couldnt get into this show,1,son,0,Hancock,Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful but will Hancock stick to his new sense of purpose or slip back into old habits?
116,B000GK6NFK,sinny,As a mature adult lesbian I can't believe how lucky you kids are to have shows like this.  Coming out can be s...  and with shows like this hopefully it makes it easier. The script story line and acting is good by all.  I look forward to viewing Series 2 and 3.,4,Series 1,1,I Am Legend,Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years Neville has faithfully sent out daily radio messages desperate to find any other survivors who might be out there. But he is not alone.
117,B000GK6NFK,Steff,South of Nowhere is a great show and I know that the story line helps alot of teens going through the same things. I was so happy with my purchase. The item arrived 2 days before the estimated arrival time. Very happy,4,Good stuff,1,Charlie and the Chocolate Factory,A young boy wins a tour through the most magnificent chocolate factory in the world led by the world's most unusual candy maker.
118,B000GK6NFK,"SuperNaye ""Music geek ^_^""",So ever since I first saw this show on The N (before it was Teen Nick) I have been infatuated with this show. I love the storyline of Spencer and her family as they move to Los Angeles and find themselves. It's an amazing show full of twists and turns. I'm extremely glad with my purchase and I will be buying the other seasons soon. You should definitely check this show out. It's truly amazing.,5,South of Nowhere is still amazing,1,Ratatouille,A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris he finds himself ideally situated beneath a restaurant made famous by his culinary hero Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down.
119,B000GK6NFK,"SurfEr ""Er""",This series is absolutly amazing. if you have never watched it you will fall in love with the characters from episode 1. unfortunatly the dvd box set is MADE TO ORDER and DVDR which means they are burnt from  a computer and put together much like a burnt copy or bootleg copy. its ashame because this series is so good and it makes it seem not much worth it. Not saying why but I am sure they have there reasons for ending the series and not spending alot of time on the quality. Hopefully everyone enjoys the show and looks past the appearance of the box. I recommend buying it just its ashame the music is different and that the box is cheap.,3,"GREAT SERIES, CHEAPLY DISTRUBTED DVD",0,Batman Begins,Driven by tragedy billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home Gotham City.  Unable to work within the system he instead creates a new identity a symbol of fear for the criminal underworld - The Batman.
120,B000GK6NFK,Tara Tissink,It was great to see a series like this with a young girl coming out.. showing all the hardest parts.I Really liked the programme... its never been TOO gay.... if that makes sense (not that i mind too gay) its relatible and easy for anyone to watch.. not just us gay girls lol,5,I LOVE SOUTH OF NOWHERE,1,Madagascar: Escape 2 Africa,Alex Marty Melman Gloria King Julien Maurice the penguins and the chimps are back and still marooned on Madagascar. In the face of this obstacle the New Yorkers have hatched a plan so crazy it just might work. With military precision the penguins have repaired an old crashed plane... sort of.
121,B000GK6NFK,toby,I just recently started watching son and didn't catch it til after its dvd release.  Though its of a generation I don't understand (a friend of mine calls them the squeaky generation and i think the term fits that and i think its cute) the joys and obstacles are the same from  generation to generation.  South of Nowhere got its hooks in me with the first episode and was surprised to find one of the executive producers is rose troche who was responsible for a lot if not most of the gay films i have in my collection from my own generation.  I love the show and i think its an important show for anyone gay or straight. It isn't just about spencer and ashley and the prejudice and relationship struggles they face but also what its like to be a black boy from Ohio thrown into the big scary city being raised by a white family and struggling with the fact that he was given up by his biological mother.  It shows a mothers bigotry and how it affects her relationship with her daughter.  It shows a family that is religious but at the same time is far from perfect.  Its a show about family friends new beginnings and old problems. i love it,5,surprisingly brilliant,1,Night at the Museum: Battle of the Smithsonian,Hapless museum night watchman Larry Daley must help his living breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart Abe Lincoln and Ivan the Terrible.
122,B000GK6NFK,trevsch,This show has a lot of power with likable characters and an interesting plot. I saw some episodes here and there and liked it so then I decided to get the first season and I'm very happy with it! Although Amazon.com manufactures it all on DVD-R everything was of great quality all the menus worked just fine high quality picture and packaging!,5,Meaningful show,1,X-Men Origins: Wolverine,After seeking to live a normal life Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.
123,B000GK6NFK,Valerie Harris,This show was on for three years and I was heart-broken when this series was canceled. The story was a twist on the run-of-the-mill high-school-drama and featured a lesbian couple that had a lo of chemistry.,5,Twist on to Average High School Drama,1,The Matrix Revolutions,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.
124,B000GK6NFK,V. Lambert,i have watched every season and it get better. wish they made more season then 3 but hey good shows end good and never drag on,5,great,1,Frozen,Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff his reindeer Sven and snowman Olaf. On an adventure where she will find out what friendship courage family and true love really means.
125,B000GK7DPY,Mr. Bliss,This is an excellent documentary of Shangri-La and its elusive transcendental nature.,5,The Search For Shangri-La,1,The Matrix Reloaded,Six months after the events depicted in The Matrix Neo has proved to be a good omen for the free humans as more and more humans are being freed from the matrix and brought to Zion the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war Neo Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough Agent Smith has somehow escaped deletion has become more powerful than before and has fixed Neo as his next target.
126,B000GK7DPY,"R. McCoy ""R. McCoy""",The episodes in this series have an average running time of 50 minutes. This one happens to be only 18 minutes. This mean sthat the file abruptly stops right in the middle. Even though it only cost me $2 I still got jipped.  Let's hope Amazon can iron out these kinds of problems before they get this service farther underway. Be careful enough to sheck the running times to be sure they seem accurate before you buy them.,1,Warning Incomplete Episode!!!,0,Thor: The Dark World,Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand Thor must embark on his most perilous and personal journey yet one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.
127,B000GK7DPY,RMP,Run time was 48 minutes.  A stellar documentary.  The download worked perfectly.  Hope the review was helpful.  ty.,5,Illuminating Documentary,1,Mad Max: Fury Road,An apocalyptic story set in the furthest reaches of our planet in a stark desert landscape where humanity is broken and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max a man of action and a man of few words who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.
128,B000GOTJGG,David Kris,I cannot review this because I never saw it. But to make a guess it most likely sucked. Thank you.,1,Never saw it!,0,Angels & Demons,Harvard symbologist Robert Langdon investigates a mysterious symbol seared into the chest of a murdered physicist. He discovers evidence of the unimaginable the rebirth of an ancient secret brotherhood known as the Illuminati the most powerful underground organization ever to walk the earth.
129,B000GOTJGG,Kimo,I would give this movie a 2.5 star rating if I could.  It has a lot of good action but its not great like Delta Force & Delta Force 2 with the A list stars.,2,Decent Movie,0,Thor,Against his father Odin's will The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.
130,B000GOTJGG,Mr.C,"MOVIE IT OK BUT IT NEEDS CHUCKIt a ok movie not so good as the delta force 1Ok movie for 90""S",4,OK,1,Bolt,"Bolt is the star of the biggest show in Hollywood. The only problem is he thinks it's real. After he's accidentally shipped to New York City and separated from Penny his beloved co-star and owner Bolt must harness all his ""super powers"" to find a way home."
131,B000GOV10S,Nikkigrl19,Loved this since I was little! Excited to know own this so I can let my kids watch this! I recommend this to anyone who has a daughter they will love this!,5,My favorite one of this series!!!!,1,G-Force,A team of trained secret agent animals guinea pigs Darwin Juarez Blaster mole Speckles and fly Mooch takes on a mission for the US government to stop evil Leonard Saber who plans to destroy the world with household appliances. But the government shuts them down and they are sentenced to a pet shop. Can they escape to defeat the villain and save the world?
132,B000GOW7RE,Dsinned,Well worth the price.  A good overview of the Apollo program highlighting the first lunar landing mission of Apollo 11 in 1969.  The quality of actual events NASA's archival footage and CGI are excellent.  Lots of expert interviews to make it authentic and knowledgeable commentary but not overly technical.  Apollo 11 mission went almost flawlessly but some of the trouble spots are covered to provide a dramatic flavor and keep it interesting with a good mix of stories about man and machines.  The History Channel's Modern Marvels and this episode in particular provide outstanding entertainment even as documentaries.  Highly recommended.,5,Apollo 11 episode,1,Wrath of the Titans,A decade after his heroic defeat of the monstrous Kraken Perseus-the demigod son of Zeus-is attempting to live a quieter life as a village fisherman and the sole parent to his 10-year old son Helius. Meanwhile a struggle for supremacy rages between the gods and the Titans. Dangerously weakened by humanity's lack of devotion the gods are losing control of the imprisoned Titans and their ferocious leader Kronos father of the long-ruling brothers Zeus Hades and Poseidon.
133,B000GOW7RE,Garrett Cook,Has good quality Plays well Very informative Full 45 minutes No commercials. I love the Modern Marvels shows and Digi-tech would be on my top 10!,5,Modern Marvels Digi-tech,1,Dark Shadows,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.
134,B000GOW9B8,"Derik G. Wilson ""Derik""",Much of the information is exaggerated incorrect or assumptions based on wild imagination; try reading the bible if you want to know about Satan.  Don't watch this sensationalist garbage on TV.  They even use Dante's Inferno as a credible source of information if that tells you anything.  These people have no clue.,1,"It's ok, with the exception of the biography on Satan.",0,Mission: Impossible - Rogue Nation,Ethan and team take on their most impossible mission yet eradicating the Syndicate - an International rogue organization as highly skilled as they are committed to destroying the IMF.
135,B000GOW9B8,"Stephen P. Richard ""STEPHEN PAUL""",This is an amazing service! For only 2 bucks i can watch what i like for the moment. In this case it was HG WELLS. Great biography.,5,HG WELLS,1,The Wolfman,Lawrence Talbot an American man on a visit to Victorian London to make amends with his estranged father gets bitten by a werewolf and after a moonlight transformation leaves him with a savage hunger for flesh.
136,B000GOYLNC,josh,Joe morello is a true master and anything you can pick up from him will be of great value.  I love this guy did I say that already.,5,i love this guy,1,Bee Movie,Barry B. Benson a bee who has just graduated from college is disillusioned at his lone career choice: making honey. On a special trip outside the hive Barry's life is saved by Vanessa a florist in New York City. As their relationship blossoms he discovers humans actually eat honey and subsequently decides to sue us.
137,B000GP0T82,kindleclusters,Thought this would have some New insight.  It is the same stuff taught in middle school.The point being - master it and you will do well.  True.I was expecting more. . .Something new.,3,Same stuff already out there . .,0,Kung Fu Panda 2,Po is now living his dream as The Dragon Warrior protecting the Valley of Peace alongside his friends and fellow kung fu masters The Furious Five - Tigress Crane Mantis Viper and Monkey. But Po’s new life of awesomeness is threatened by the emergence of a formidable villain who plans to use a secret unstoppable weapon to conquer China and destroy kung fu. It is up to Po and The Furious Five to journey across China to face this threat and vanquish it. But how can Po stop a weapon that can stop kung fu? He must look to his past and uncover the secrets of his mysterious origins; only then will he be able to unlock the strength he needs to succeed.
138,B000GP38JE,MsEnlightened1,IT WAS LOTS OF FUN! AND BOTH FLAV AND BRIDGETTE WERE TOTALLY NICE AND DOWN TO EARTH PEEPS! =0)IM THE ONE IN THE WHITE GSTRING DANCING AND LAUGHING WITH FLAV,5,Im the stripper in the vegas strip club trip...,1,The Last Airbender,The story follows the adventures of Aang a young successor to a long line of Avatars who must put his childhood ways aside and stop the Fire Nation from enslaving the Water Earth and Air nations.
139,B000GP38JE,"neebee ""nee""",A lot of people dont like flav  but strange love is the bomb hilarious and I'd recommend it to everyone.,5,explosive,1,Mission: Impossible III,Retired from active duty to train new IMF agents Ethan Hunt is called back into action to confront sadistic arms dealer Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.
140,B000GPHCXW,"E. Patterson ""ep83""",I downloaded this with a gift certificate from the Creative Zen purchase.  I've seen pieces of Woody Mann's DVD on Blind Blake and as an instructor he appears to know how to communicate with someone who is trying to learn.  In other words his demonstrations are slow (but still in rhythmic time) and his explanations are meticulous and succinct.However Amazon's Unbox download is lacking a pdf tablature to supliment the video download.  This could be detramental to people who want to learn the styles Mann teaches (Lonnie Johnson Memphis Minnie etc...) but do not have the musical vocabulary or have not yet been introduced to it.My suggestion to the buyer is if you get stuck find some mp3s & online tabs of these artists works learn their phrases and then come back to this video for Woody Mann to help explain the thinking / theory behind these individual styles.  Because I know if I had not already learned one or two songs from these artists along with some basic fretboard theory I wouldn't know where to begin with this $14 purchase.Or just don't buy this video.  Spend the few extra bucks on the physical dvd and booklet.  Whatever works for you.(Note to Amazon:  The three stars is based on Amazon's poor judgement to not include pdf tabs.  This idea of downloading instructional videos is fantastic but can easily be undermined by poor execution on the provider's part.),3,"Five Stars For Woody, Three For Download",0,White House Down,Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news he takes her on a tour of the White House when the complex is overtaken by a heavily armed paramilitary group. Now with the nation's government falling into chaos and time running out it's up to Cale to save the president his daughter and the country.
141,B000GPKEYG,Clayton A. Blackwell,I highly recommend this video for beginners who don't have the luxury of a martial arts gym nearby or just those trying to learn some basic fighting techniques for their own knowledge.  I personally haven't had any real formal stand up training and I found this video to be very informative.,4,Good for beginners,1,Mars Needs Moms,When Martians suddenly abduct his mom mischievous Milo rushes to the rescue and discovers why all moms are so special.
142,B000GPWEIU,DJ Tantrum,Great movie on the surf culture! Absolute must have! I really like the progression of the movie from the origin of board sports through present day and evolution of surfing.,5,Great movie! A solid guide to surf culture and origin of board sports!,1,Flushed Away,London high-society mouse Roddy is flushed down the toilet by Sid a common sewer rat. Hang on for a madcap adventure deep in the sewer bowels of Ratropolis where Roddy meets the resourceful Rita the rodent-hating Toad and his faithful thugs Spike and Whitey.
143,B000GQ02C4,B,please do not waste your money on this like I did.  poor video quality and all at night...seemed like it was filmed a decade ago by a 16 year old.,1,horrible,0,Pan,Living a bleak existence at a London orphanage 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way the rebellious and mischievous boy discovers his true destiny becoming the hero forever known as Peter Pan.
144,B000GQ02C4,jason bertetto,i've seen and have purched street race videos before very disipointed with this one. yeah its got some racing but it is all at night and shaky. not very great quality.,2,not worth it.,0,Mr. Peabody & Sherman,A young boy and his dog who happens to have a genius-level IQ spring into action when their time-travel machine is stolen and moments in history begin to be changed.
145,B000GQQ60Q,Amazon Customer,Most of this video is a naration with still pictures stating what number the mistake is.  Very disappointing.  I was looking for a video and recieved more of a slide show.,1,Not impressed,0,Troy,In year 1250 B.C. during the late Bronze age two emerging nations begin to clash. Paris the Trojan prince convinces Helen Queen of Sparta to leave her husband Menelaus and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1000 ships holding 50000 Greeks to Troy. With the help of Achilles the Greeks are able to fight the never before defeated Trojans.
146,B000GQQ60Q,K. Miller,Jumps quickly from subject to subject with little explanation on how to solve a problem just describes what you should have done to prevent it.Visuals do not accompany the situation in many instances e.g. man over board does not show anything you just watch the commentator talk about it.However I learned a few things.,3,100 Sailing Mistakes,0,Madagascar 3: Europe's Most Wanted,Alex Marty Gloria and Melman are still trying to get back to the Big Apple and their beloved Central Park zoo but first they need to find the penguins. When they travel to Monte Carlo they attract the attention of Animal Control after gate crashing a party and are joined by the penguins King Julian and Co. and the monkeys. How do a lion zebra hippo giraffe four penguins two monkeys three lemurs travel through Europe without attracting attention and get back to New York? They join a traveling circus. Their attempts to get back to New York are consistently hampered by the Captain of Animal Control who wants to make Alex part of her collection. Once they make it back to New York Marty Alex Gloria and Melman realize that they want to be part of the traveling circus.
147,B000GQQ60Q,reviewnstuff,There were a few tidbits of information (which is why I gave it 2 stars instead of just 1) but the overall quality of the video is pretty bad.  It advertises 100 mistakes but I think 20 of them were on a failure to have a paper chart.  Also as the previous commenter stated many of the examples do not provide a corresponding video and you are simply listening to the commentator discuss it.  Perhaps the most annoying is that the editing was horrible.  It jumps all over and half way through it appears the video is wrapped up with credits displayed.  If you watch past the credits you will find there is another 25 minutes of content lol.  Real amateur video.,2,Eh...,0,Die Another Day,Bond takes on a North Korean leader who undergoes DNA replacement procedures that allow him to assume different identities. American agent Jinx Johnson assists Bond in his attempt to thwart the villain's plans to exploit a satellite that is powered by solar energy.
148,B000GQSP5A,josh,This is just clips from pre-released instruction videos.  I wasn't impressed and would rather seek out the original footage from each of these drummers.,3,its okay,0,Ghostbusters,Following a ghost invasion of Manhattan paranormal enthusiasts Erin Gilbert and Abby Yates nuclear engineer Jillian Holtzmann and subway worker Patty Tolan band together to stop the otherworldly threat.
149,B000GQUDAU,Russell Kaye,Gave it one more star than it deserves. The video quality is awful. Hope I can get my money back.Amazon did refund my money without any problem. I hope they can get a better copy of this video.,1,Terrible video quality,0,Armageddon,When an asteroid threatens to collide with Earth NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter until the mission proves otherwise.
150,B000GQVD8Q,J. Amelia,"As this is the only place this movie can be purchased the method of sales must accompany the review.I cannot view this movie although I have paid for it.  This ""unbox"" system has been completely useless for me and I cannot get the movie although it is paid for.I truly wish it was made available in another format as the help to get it has been worthless as well.In short make sure to try out this system of amazon's before buying the movie.There is no help desk no assistance and no movie for me at least.",1,One day I will be able to see this movie,0,Men in Black II,Kay and Jay reunite to provide our best last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.
151,B000GQZVPM,Lucian A Hayes,...this video is amazing. the locations and videography is great. the idea behind it really shows with the director and editor. a total collectors must have.,5,AMAZING!,1,Beowulf,6th-century Scandinavian warrior Beowulf embarks on a mission to slay the manlike ogre Grendel a descendant of Cain.
152,B000GR00DY,"AMC ""AM""",Rent it... don't buy it.No too bad no too good. Just rent it.It's just 20 min long after his presentation,2,Rent it... don't buy it,0,Kung Fu Panda 3,"Continuing his ""legendary adventures of awesomeness"" Po must face two hugely epic but different threats: one supernatural and the other a little closer to his home."
